Exercise_ID,Exercise name,Position,Exercise group,Category_Code,Progression_Level,Difficulty,Equipment_Needed,Primary_Target,Contraindications,Exercise description
EX-BHF-001,DOUBLE KNEE TO CHEST STRETCH ,Supine,Bilateral hip flexion/low back flexion stretch,BHF,1,Basic,None,Multi,None,"While Lying on your back, raise your leg upand hold your thigh under your knee while gently pulling it towards your chest for a gentle stretch. Lower your leg down and repeat"
EX-BHF-002,Double knee to chest with swiss ball,Supine,Bilateral hip flexion/low back flexion stretch,BHF,2,Advanced,Stability Ball,Multi,None,Rolling ball towards chest until you feel astretch in the low back.
EX-BHF-003,Double Knee Chest Stretch,Supine,Bilateral hip flexion/low back flexion stretch,BHF,3,Basic,None,Multi,None,While laying on the back pull both knees uptowards the chest. Repeat.
EX-BHF-004,SEATED TRUNK FLEXION,Seated,Bilateral hip flexion/low back flexion stretch,BHF,4,Basic,None,Multi,None,"While in a seated position, cross your armsover your chest and slowly curl your backforward in order to round your upper back."
EX-BHF-005,Seated lumbar flexion,Seated,Bilateral hip flexion/low back flexion stretch,BHF,5,Basic,None,Thoracic,None,Sit as tall as possible. Let your trunk fallforward toward the ground. Hold your hands onthe ground once you get to the bottom and leteverything relax.
EX-BHF-006,SEATED LOW BACK STRETCH ,Seated,Bilateral hip flexion/low back flexion stretch,BHF,6,Basic,None,Thoracic,None,"While sitting in a chair, begin by slowly bendingforward and reaching your hands towards thefloor. Bend your trunk and head forward anddown. Hold, then return to starting position andrepeat."
EX-BR-001,Abdominal brace,Supine,Bracing,BR,1,Basic,None,Multi,None,"Laying on your back with your knees bent,draw in your belly button as if putting on a tightpair of pants. It should feel like you areflattening or pushing your back into thetable/bed."
EX-BR-002,Transverse Abdominus Activation,Supine,Bracing,BR,2,Intermediate,None,Core,None,Contract your lower abdominals as if you weretrying to lift one leg from the table. Initiate themovement but do no lift foot greater than 1inch from the table. Repeat opposite side.
EX-BR-003,BRACE HEEL SLIDES,Supine,Bracing,BR,3,Basic,None,Multi,None,"While lying on your back with your knees bent,slowly slide your heel forward on the floor/bedand then slide it back. Use your stomachmuscles to keep your spine from moving."
EX-BR-004,SUPINE 90 90 MARCHING--PELVIC BRACING,Supine,Bracing,BR,4,Intermediate,None,Core,None,"Start by lying on your back with knees bentand flattening your pelvis and low back downto the floor. Brace and hold this position as youraise up one leg at a time to TABLE TOPposition as shown. Your hips and knees shouldbe bent to approximately 90 degree angles. Donot allow your low back to arch upwards for theentire exercise.Next, lower one leg down close to touching thefloor. Return that leg to 90-90 position and thenrepeat on the other side."
EX-BR-005,BRACE SUPINE MARCHING,Supine,Bracing,BR,5,Basic,None,Multi,None,"While lying on your back with your knees bent,slowly raise up one foot a few inches and thenset it back down. Next, perform on your otherleg. Use your stomach muscles to keep yourspine from moving."
EX-BR-006,KNEE FALL OUT,Supine,Bracing,BR,6,Basic,None,Core,None,"While lying on your back with both knees bent,stabilize your spine by bracing your abdominalmuscles. Hold this contraction as you slowlylower one knee to the side. Your pelvis shouldnot move.You can place your thumbs on your pelvicbone to get feedback of any movements thatoccur. If your pelvis moves too much, then nexttime lower the leg less to maintain goodcontrol."
EX-BR-007,Bent Knee Fall Out Bilateral,Supine,Bracing,BR,7,Advanced,Stability Ball,Core,None,"Lay on back with knees bent. Tightenabdominals as if a bowling ball were about tobe dropped on abdomen. Be sure to not holdyour breath. Do not tighten abdominals in away that will change the neutral position of thespine. Slowly and under control, let one leg fallout to the side while maintaining pelvis inneutral. Return leg to starting position andperform on the other side. Relax.Make sure each repetition starts with a newabdominal contraction and alternate thestarting side."
EX-BR-008,Sahrmann Lower Abdominal-Level 1,Seated,Bracing,BR,8,Basic,None,Core,None,"Start with both knees bent, and your feet onthe floor. Tighten your abdominal muscles, likeyou are drawing your mid-section to your bellybutton. Your ribs should pull together and downslightly. Lift 1 leg to 90 degreed of hip flexion(pic 1), then lift the second leg to 90 degreeship flexion (pic 2). As you lift, make sure youare not letting your back arc. Lower the first legback to the starting position, then lower thesecond leg to the starting position. LIFT-LIFT;LOWER-LOWER. Only do as many as you canunfer GOOD control"
EX-BR-009,Supine Marching,Supine,Bracing,BR,9,Intermediate,None,Core,None,Lie down on your back with the feet on thefloor and your knees bent at 90 degrees. Thelow back should remain neutral or flat againstthe table through the whole exercise. Brace theabdominals and slowly raise one leg towardsthe ceiling while maintaining the same 90degree bend through the knee. Stop when thelower leg is parallel with the floor. Slowly lowerthe leg back down to the starting position.Repeat the motion with the other leg. Keep asteady breathing pattern through the wholeexercise.
EX-BR-010,DEAD BUG,Supine,Bracing,BR,10,Basic,None,Multi,None,"While lying on your back with your knees andhips bent to 90 degrees, use your stomachmuscles and maintain pelvic neutral position.Do not allow your spine to move.Hold pelvic neutral and then slowly straightenout a leg without touching the floor. At thesame time raise an opposite arm over head.Do not allow your spine to arch during thismovement.Return to starting position and then repeat onthe opposite side."
EX-BR-011,BRACE--BILATERAL BENT LEG LIFTS,Supine,Bracing,BR,11,Basic,None,Core,None,Lie on your back with your knees bent. Useyour abdominal muscles to press your lowerback into the floor / mat. Hold this while you liftwith your feet off the floor a few inches. Useyour stomach muscles to keep your spine frommoving the entire time.
EX-BR-012,BRACE--BICYCLE UNSUPPORTED,Supine,Bracing,BR,12,Basic,None,Multi,None,"While lying on your back with your knees bent,raise up both feet and straighten one out infront of you. Then return the leg back andstraighten the other. Use your stomachmuscles to keep your spine from moving."
EX-BR-013,BRACE--SINGLE KNEE EXTENSION SUPPORTED,Supine,Bracing,BR,13,Intermediate,None,Core,None,"Start by lying on your back with your kneesbent. Then, brace / tighten your abdominalmuscles so that your spine does not movewhile you straighten out one leg over theground as shown. Return your leg to startingposition and then perform on the other side.Use your abdominal muscles to prevent yourspine from moving the entire time."
EX-BR-014,TRANSVERSUS ABDOMINUS TRAINING--BRACING IN SITTING,Seated,Bracing,BR,14,Basic,None,Core,None,"This is to be performed while being seated.Press your finger tips into your relaxedabdomen lateral of your navel. Next, tightenand brace your abdomen so that the musclespush your finger tips away from the center ofyour body. Hold and then relax and repeat."
EX-BR-015,TRANSVERSUS ABDOMINUS TRAINING--BRACING IN STANDING,Standing,Bracing,BR,15,Basic,None,Core,None,"This can be performed standing or lying down.Press your finger tips into your relaxedabdomen lateral of your navel. Next, tightenand brace your abdomen so that the musclespush your finger tips away from the center ofyour body. Hold and then relax and repeat."
EX-BR-016,SEATED ALTERNATEARM AND LEGEXERCISE BALL,Seated,Bracing,BR,16,Advanced,Stability Ball,Core,None,"While seated on an exercise ball, tighten yourabdominal muscles and then raise a leg andopposite arm. Return limbs back down andthen raise the opposite side. Try and maintaina stable pelvis and spine the entire time."
EX-BR-017,CURL UP - TYPE 1,Supine,Bracing,BR,17,Basic,None,Thoracic,None,"While lying on your back with your arms out-stretched forward, partially curl up your trunkas you lift your shoulder blades off the ground.Return to lying down and repeat."
EX-BRG-001,Bridge,Supine,Bridging,BRG,1,Basic,None,Glutes,None,"While lying on your back with knees bent,tighten your lower abdominal muscles,squeeze your buttocks and then raise yourbuttocks off the floor/bed as creating a ""Bridge""with your body. Hold and then lower yourselfand repeat"
EX-BRG-002,Supine bridge,Supine,Bridging,BRG,2,Basic,None,Core,None,Lie down on your back and bend your knees so that your feet are flat on the table. Press your heels into the ground to lift your hips off ofthe table. You should stabilize through your core. Return to the starting position controlling your speed.
